_id,date,center_name,attendance_count
48847300,2016-03-05,Ormsby Community Center,29
48847301,2016-03-05,Phillips Community Center,57
48847302,2016-03-05,West Penn Community Center,25
48847303,2016-03-05,Magee Community Center,9
48847304,2016-03-04,Ammon Community Center,21
48847305,2016-03-04,Arlington Community Center,21
48847306,2016-03-04,Brookline Community Center,101
48847307,2016-03-04,Ormsby Community Center,46
48847308,2016-03-04,Paulson Community Center,13
48847309,2016-03-04,Phillips Community Center,101
48847310,2016-03-04,West Penn Community Center,62
48847311,2016-03-04,Warrington Community Center,72
48847312,2016-03-04,Magee Community Center,50
48847313,2016-03-04,Jefferson Community Center,14
48847314,2016-03-03,Arlington Community Center,2
48847315,2016-03-03,Ammon Community Center,58
48847316,2016-03-03,Brookline Community Center,126
48847317,2016-03-03,Paulson Community Center,13
48847318,2016-03-03,Ormsby Community Center,50
48847319,2016-03-03,Phillips Community Center,122
48847320,2016-03-03,Warrington Community Center,100
48847321,2016-03-03,West Penn Community Center,133
48847322,2016-03-03,Jefferson Community Center,5
48847323,2016-03-03,Magee Community Center,57
48847324,2016-03-02,Ammon Community Center,59
48847325,2016-03-02,Arlington Community Center,38
48847326,2016-03-02,Brookline Community Center,126
48847327,2016-03-02,Ormsby Community Center,70
48847328,2016-03-02,Paulson Community Center,18
48847329,2016-03-02,Phillips Community Center,159
48847330,2016-03-02,West Penn Community Center,85
48847331,2016-03-02,Warrington Community Center,92
48847332,2016-03-02,Magee Community Center,54
48847333,2016-03-02,Jefferson Community Center,30
48847334,2016-03-01,Arlington Community Center,15
48847335,2016-03-01,Ammon Community Center,44
48847336,2016-03-01,Brookline Community Center,120
48847337,2016-03-01,Paulson Community Center,25
48847338,2016-03-01,Ormsby Community Center,51
48847339,2016-03-01,Phillips Community Center,108
48847340,2016-03-01,Warrington Community Center,96
48847341,2016-03-01,West Penn Community Center,80
48847342,2016-03-01,Jefferson Community Center,36
48847343,2016-03-01,Magee Community Center,78
48847344,2016-02-29,Ammon Community Center,86
48847345,2016-02-29,Arlington Community Center,26
48847346,2016-02-29,Brookline Community Center,113
48847347,2016-02-29,Ormsby Community Center,47
48847348,2016-02-29,Paulson Community Center,23
48847349,2016-02-29,Phillips Community Center,202
48847350,2016-02-29,West Penn Community Center,57
48847351,2016-02-29,Warrington Community Center,103
48847352,2016-02-29,Magee Community Center,86
48847353,2016-02-29,Jefferson Community Center,26
48847354,2016-02-27,Brookline Community Center,136
48847355,2016-02-27,Ormsby Community Center,11
48847356,2016-02-27,Phillips Community Center,46
48847357,2016-02-27,West Penn Community Center,28
48847358,2016-02-27,Magee Community Center,10
48847359,2016-02-26,Arlington Community Center,13
48847360,2016-02-26,Ammon Community Center,33
48847361,2016-02-26,Brookline Community Center,96
48847362,2016-02-26,Ormsby Community Center,43
48847363,2016-02-26,Paulson Community Center,23
48847364,2016-02-26,Phillips Community Center,121
48847365,2016-02-26,West Penn Community Center,61
48847366,2016-02-26,Warrington Community Center,92
48847367,2016-02-26,Magee Community Center,43
48847368,2016-02-26,Jefferson Community Center,23
48847369,2016-02-25,Ammon Community Center,61
48847370,2016-02-25,Arlington Community Center,9
48847371,2016-02-25,Brookline Community Center,94
48847372,2016-02-25,Paulson Community Center,22
48847373,2016-02-25,Ormsby Community Center,158
48847374,2016-02-25,Phillips Community Center,86
48847375,2016-02-25,Warrington Community Center,95
48847376,2016-02-25,West Penn Community Center,122
48847377,2016-02-25,Jefferson Community Center,19
48847378,2016-02-25,Magee Community Center,30
48847379,2016-02-24,Arlington Community Center,28
48847380,2016-02-24,Ammon Community Center,47
48847381,2016-02-24,Brookline Community Center,133
48847382,2016-02-24,Ormsby Community Center,70
48847383,2016-02-24,Paulson Community Center,18
48847384,2016-02-24,Phillips Community Center,102
48847385,2016-02-24,West Penn Community Center,87
48847386,2016-02-24,Warrington Community Center,75
48847387,2016-02-24,Magee Community Center,66
48847388,2016-02-24,Jefferson Community Center,12
48847389,2016-02-23,Ammon Community Center,43
48847390,2016-02-23,Arlington Community Center,24
48847391,2016-02-23,Brookline Community Center,103
48847392,2016-02-23,Paulson Community Center,58
48847393,2016-02-23,Ormsby Community Center,63
48847394,2016-02-23,Phillips Community Center,92
48847395,2016-02-23,Warrington Community Center,94
48847396,2016-02-23,West Penn Community Center,95
48847397,2016-02-23,Jefferson Community Center,21
48847398,2016-02-23,Magee Community Center,66
48847399,2016-02-22,Arlington Community Center,38
48847400,2016-02-22,Ammon Community Center,47
48847401,2016-02-22,Brookline Community Center,115
48847402,2016-02-22,Ormsby Community Center,47
48847403,2016-02-22,Paulson Community Center,15
48847404,2016-02-22,Phillips Community Center,164
48847405,2016-02-22,West Penn Community Center,86
48847406,2016-02-22,Warrington Community Center,94
48847407,2016-02-22,Magee Community Center,68
48847408,2016-02-22,Jefferson Community Center,71
48847409,2016-02-20,Ammon Community Center,39
48847410,2016-02-20,Arlington Community Center,4
48847411,2016-02-20,Brookline Community Center,146
48847412,2016-02-20,Ormsby Community Center,18
48847413,2016-02-20,Phillips Community Center,35
48847414,2016-02-20,West Penn Community Center,21
48847415,2016-02-20,Magee Community Center,27
48847416,2016-02-19,Arlington Community Center,15
48847417,2016-02-19,Ammon Community Center,67
48847418,2016-02-19,Brookline Community Center,81
48847419,2016-02-19,Ormsby Community Center,20
48847420,2016-02-19,Phillips Community Center,81
48847421,2016-02-19,West Penn Community Center,60
48847422,2016-02-19,Warrington Community Center,81
48847423,2016-02-19,Magee Community Center,75
48847424,2016-02-19,Jefferson Community Center,17
48847425,2016-02-18,Ammon Community Center,159
48847426,2016-02-18,Arlington Community Center,10
48847427,2016-02-18,Brookline Community Center,107
48847428,2016-02-18,Ormsby Community Center,40
48847429,2016-02-18,Phillips Community Center,78
48847430,2016-02-18,Warrington Community Center,81
48847431,2016-02-18,West Penn Community Center,112
48847432,2016-02-18,Jefferson Community Center,19
48847433,2016-02-18,Magee Community Center,41
48847434,2016-02-17,Arlington Community Center,28
48847435,2016-02-17,Ammon Community Center,132
48847436,2016-02-17,Brookline Community Center,122
48847437,2016-02-17,Ormsby Community Center,57
48847438,2016-02-17,Phillips Community Center,80
48847439,2016-02-17,West Penn Community Center,74
48847440,2016-02-17,Warrington Community Center,50
48847441,2016-02-17,Magee Community Center,76
48847442,2016-02-17,Jefferson Community Center,27
48847443,2016-02-16,Ammon Community Center,33
48847444,2016-02-16,Arlington Community Center,11
48847445,2016-02-16,Brookline Community Center,112
48847446,2016-02-16,Ormsby Community Center,44
48847447,2016-02-16,Phillips Community Center,90
48847448,2016-02-16,Warrington Community Center,78
48847449,2016-02-16,West Penn Community Center,89
48847450,2016-02-16,Jefferson Community Center,15
48847451,2016-02-16,Magee Community Center,75
48847452,2016-02-15,Arlington Community Center,36
48847453,2016-02-15,Ammon Community Center,68
48847454,2016-02-15,Brookline Community Center,74
48847455,2016-02-15,Ormsby Community Center,40
48847456,2016-02-15,Phillips Community Center,104
48847457,2016-02-15,West Penn Community Center,47
48847458,2016-02-15,Warrington Community Center,107
48847459,2016-02-15,Magee Community Center,79
48847460,2016-02-15,Jefferson Community Center,20
48847461,2016-02-13,Ammon Community Center,19
48847462,2016-02-13,Brookline Community Center,130
48847463,2016-02-13,Ormsby Community Center,20
48847464,2016-02-13,Phillips Community Center,12
48847465,2016-02-13,West Penn Community Center,18
48847466,2016-02-13,Magee Community Center,23
48847467,2016-02-12,Ammon Community Center,49
48847468,2016-02-12,Arlington Community Center,10
48847469,2016-02-12,Brookline Community Center,92
48847470,2016-02-12,Ormsby Community Center,48
48847471,2016-02-12,Phillips Community Center,73
48847472,2016-02-12,West Penn Community Center,60
48847473,2016-02-12,Warrington Community Center,71
48847474,2016-02-12,Magee Community Center,77
48847475,2016-02-12,Jefferson Community Center,42
48847476,2016-02-11,Arlington Community Center,8
48847477,2016-02-11,Ammon Community Center,63
48847478,2016-02-11,Brookline Community Center,123
48847479,2016-02-11,Ormsby Community Center,35
48847480,2016-02-11,Phillips Community Center,90
48847481,2016-02-11,Warrington Community Center,73
48847482,2016-02-11,West Penn Community Center,127
48847483,2016-02-11,Jefferson Community Center,39
48847484,2016-02-11,Magee Community Center,28
48847485,2016-02-10,Ammon Community Center,62
48847486,2016-02-10,Arlington Community Center,11
48847487,2016-02-10,Brookline Community Center,94
48847488,2016-02-10,Ormsby Community Center,59
48847489,2016-02-10,Paulson Community Center,19
48847490,2016-02-10,Phillips Community Center,80
48847491,2016-02-10,West Penn Community Center,66
48847492,2016-02-10,Warrington Community Center,99
48847493,2016-02-10,Magee Community Center,51
48847494,2016-02-10,Jefferson Community Center,40
48847495,2016-02-09,Arlington Community Center,27
48847496,2016-02-09,Ammon Community Center,40
48847497,2016-02-09,Brookline Community Center,96
48847498,2016-02-09,Paulson Community Center,28
48847499,2016-02-09,Ormsby Community Center,72
48847500,2016-02-09,Phillips Community Center,84
48847501,2016-02-09,Warrington Community Center,76
48847502,2016-02-09,West Penn Community Center,84
48847503,2016-02-09,Jefferson Community Center,32
48847504,2016-02-09,Magee Community Center,59
48847505,2016-02-08,Ammon Community Center,45
48847506,2016-02-08,Arlington Community Center,24
48847507,2016-02-08,Brookline Community Center,134
48847508,2016-02-08,Ormsby Community Center,47
48847509,2016-02-08,Paulson Community Center,39
48847510,2016-02-08,Phillips Community Center,130
48847511,2016-02-08,West Penn Community Center,58
48847512,2016-02-08,Warrington Community Center,70
48847513,2016-02-08,Magee Community Center,69
48847514,2016-02-08,Jefferson Community Center,25
48847515,2016-02-06,Ammon Community Center,25
48847516,2016-02-06,Brookline Community Center,148
48847517,2016-02-06,Ormsby Community Center,21
48847518,2016-02-06,Phillips Community Center,48
48847519,2016-02-06,West Penn Community Center,30
48847520,2016-02-06,Magee Community Center,24
48847521,2016-02-05,Ammon Community Center,38
48847522,2016-02-05,Arlington Community Center,10
48847523,2016-02-05,Brookline Community Center,102
48847524,2016-02-05,Ormsby Community Center,58
48847525,2016-02-05,Phillips Community Center,79
48847526,2016-02-05,West Penn Community Center,56
48847527,2016-02-05,Warrington Community Center,66
48847528,2016-02-05,Magee Community Center,83
48847529,2016-02-05,Jefferson Community Center,41
48847530,2016-02-04,Arlington Community Center,5
48847531,2016-02-04,Ammon Community Center,71
48847532,2016-02-04,Brookline Community Center,134
48847533,2016-02-04,Ormsby Community Center,133
48847534,2016-02-04,Phillips Community Center,76
48847535,2016-02-04,Warrington Community Center,72
48847536,2016-02-04,West Penn Community Center,91
48847537,2016-02-04,Jefferson Community Center,17
48847538,2016-02-04,Magee Community Center,36
48847539,2016-02-03,Ammon Community Center,169
48847540,2016-02-03,Arlington Community Center,36
48847541,2016-02-03,Brookline Community Center,185
48847542,2016-02-03,Ormsby Community Center,74
48847543,2016-02-03,Paulson Community Center,15
48847544,2016-02-03,Phillips Community Center,135
48847545,2016-02-03,West Penn Community Center,76
48847546,2016-02-03,Warrington Community Center,74
48847547,2016-02-03,Magee Community Center,47
48847548,2016-02-03,Jefferson Community Center,19
48847549,2016-02-02,Arlington Community Center,39
48847550,2016-02-02,Ammon Community Center,65
48847551,2016-02-02,Brookline Community Center,127
48847552,2016-02-02,Ormsby Community Center,59
48847553,2016-02-02,Phillips Community Center,124
48847554,2016-02-02,Warrington Community Center,63
48847555,2016-02-02,West Penn Community Center,76
48847556,2016-02-02,Jefferson Community Center,30
48847557,2016-02-02,Magee Community Center,44
48847558,2016-02-01,Ammon Community Center,120
48847559,2016-02-01,Arlington Community Center,63
48847560,2016-02-01,Brookline Community Center,128
48847561,2016-02-01,Ormsby Community Center,44
48847562,2016-02-01,Phillips Community Center,152
48847563,2016-02-01,West Penn Community Center,95
48847564,2016-02-01,Warrington Community Center,92
48847565,2016-02-01,Magee Community Center,59
48847566,2016-02-01,Jefferson Community Center,61
48847567,2016-01-30,Ammon Community Center,26
48847568,2016-01-30,Brookline Community Center,125
48847569,2016-01-30,Ormsby Community Center,32
48847570,2016-01-30,Phillips Community Center,45
48847571,2016-01-30,West Penn Community Center,27
48847572,2016-01-30,Magee Community Center,3
48847573,2016-01-29,Ammon Community Center,92
48847574,2016-01-29,Arlington Community Center,30
48847575,2016-01-29,Brookline Community Center,116
48847576,2016-01-29,Ormsby Community Center,33
48847577,2016-01-29,Phillips Community Center,66
48847578,2016-01-29,West Penn Community Center,58
48847579,2016-01-29,Warrington Community Center,55
48847580,2016-01-29,Magee Community Center,66
48847581,2016-01-29,Jefferson Community Center,26
48847582,2016-01-28,Arlington Community Center,35
48847583,2016-01-28,Ammon Community Center,55
48847584,2016-01-28,Brookline Community Center,108
48847585,2016-01-28,Ormsby Community Center,261
48847586,2016-01-28,Phillips Community Center,105
48847587,2016-01-28,Warrington Community Center,55
48847588,2016-01-28,West Penn Community Center,128
48847589,2016-01-28,Jefferson Community Center,27
48847590,2016-01-28,Magee Community Center,25
48847591,2016-01-27,Ammon Community Center,51
48847592,2016-01-27,Arlington Community Center,46
48847593,2016-01-27,Brookline Community Center,157
48847594,2016-01-27,Ormsby Community Center,84
48847595,2016-01-27,Phillips Community Center,97
48847596,2016-01-27,West Penn Community Center,97
48847597,2016-01-27,Warrington Community Center,70
48847598,2016-01-27,Magee Community Center,65
48847599,2016-01-27,Jefferson Community Center,35
48847600,2016-01-26,Arlington Community Center,40
48847601,2016-01-26,Ammon Community Center,42
48847602,2016-01-26,Brookline Community Center,140
48847603,2016-01-26,Ormsby Community Center,50
48847604,2016-01-26,Phillips Community Center,96
48847605,2016-01-26,Warrington Community Center,80
48847606,2016-01-26,West Penn Community Center,66
48847607,2016-01-26,Jefferson Community Center,24
48847608,2016-01-26,Magee Community Center,66
48847609,2016-01-25,Ammon Community Center,45
48847610,2016-01-25,Arlington Community Center,13
48847611,2016-01-25,Brookline Community Center,129
48847612,2016-01-25,Ormsby Community Center,28
48847613,2016-01-25,Phillips Community Center,145
48847614,2016-01-25,West Penn Community Center,61
48847615,2016-01-25,Warrington Community Center,64
48847616,2016-01-25,Magee Community Center,89
48847617,2016-01-25,Jefferson Community Center,12
48847618,2016-01-24,Ammon Community Center,85
48847619,2016-01-23,Brookline Community Center,37
48847620,2016-01-23,Ormsby Community Center,7
48847621,2016-01-23,Phillips Community Center,10
48847622,2016-01-23,West Penn Community Center,2
48847623,2016-01-23,Magee Community Center,18
48847624,2016-01-22,Ammon Community Center,18
48847625,2016-01-22,Arlington Community Center,27
48847626,2016-01-22,Brookline Community Center,86
48847627,2016-01-22,Ormsby Community Center,50
48847628,2016-01-22,Phillips Community Center,85
48847629,2016-01-22,West Penn Community Center,39
48847630,2016-01-22,Warrington Community Center,36
48847631,2016-01-22,Magee Community Center,38
48847632,2016-01-22,Jefferson Community Center,21
48847633,2016-01-21,Arlington Community Center,51
48847634,2016-01-21,Ammon Community Center,85
48847635,2016-01-21,Brookline Community Center,127
48847636,2016-01-21,Ormsby Community Center,75
48847637,2016-01-21,Phillips Community Center,85
48847638,2016-01-21,Warrington Community Center,82
48847639,2016-01-21,West Penn Community Center,101
48847640,2016-01-21,Jefferson Community Center,36
48847641,2016-01-21,Magee Community Center,50
48847642,2016-01-20,Ammon Community Center,149
48847643,2016-01-20,Arlington Community Center,15
48847644,2016-01-20,Brookline Community Center,111
48847645,2016-01-20,Ormsby Community Center,60
48847646,2016-01-20,Paulson Community Center,71
48847647,2016-01-20,Phillips Community Center,5
48847648,2016-01-20,West Penn Community Center,55
48847649,2016-01-20,Warrington Community Center,55
48847650,2016-01-20,Magee Community Center,20
48847651,2016-01-20,Jefferson Community Center,35
48847652,2016-01-19,Arlington Community Center,28
48847653,2016-01-19,Ammon Community Center,136
48847654,2016-01-19,Brookline Community Center,113
48847655,2016-01-19,Ormsby Community Center,69
48847656,2016-01-19,Phillips Community Center,90
48847657,2016-01-19,Warrington Community Center,69
48847658,2016-01-19,West Penn Community Center,76
48847659,2016-01-19,Jefferson Community Center,34
48847660,2016-01-16,Ammon Community Center,29
48847661,2016-01-16,Brookline Community Center,166
48847662,2016-01-16,Ormsby Community Center,31
48847663,2016-01-16,Phillips Community Center,40
48847664,2016-01-16,West Penn Community Center,18
48847665,2016-01-16,Magee Community Center,22
48847666,2016-01-15,Ammon Community Center,51
48847667,2016-01-15,Arlington Community Center,4
48847668,2016-01-15,Brookline Community Center,201
48847669,2016-01-15,Ormsby Community Center,37
48847670,2016-01-15,Phillips Community Center,89
48847671,2016-01-15,West Penn Community Center,44
48847672,2016-01-15,Warrington Community Center,73
48847673,2016-01-15,Magee Community Center,76
48847674,2016-01-15,Jefferson Community Center,34
48847675,2016-01-14,Arlington Community Center,42
48847676,2016-01-14,Ammon Community Center,196
48847677,2016-01-14,Brookline Community Center,151
48847678,2016-01-14,Ormsby Community Center,54
48847679,2016-01-14,Phillips Community Center,106
48847680,2016-01-14,Warrington Community Center,53
48847681,2016-01-14,West Penn Community Center,120
48847682,2016-01-14,Jefferson Community Center,21
48847683,2016-01-14,Magee Community Center,35
48847684,2016-01-13,Ammon Community Center,51
48847685,2016-01-13,Arlington Community Center,18
48847686,2016-01-13,Brookline Community Center,127
48847687,2016-01-13,Ormsby Community Center,57
48847688,2016-01-13,Phillips Community Center,109
48847689,2016-01-13,West Penn Community Center,80
48847690,2016-01-13,Warrington Community Center,76
48847691,2016-01-13,Magee Community Center,50
48847692,2016-01-13,Jefferson Community Center,27
48847693,2016-01-12,Arlington Community Center,25
48847694,2016-01-12,Ammon Community Center,18
48847695,2016-01-12,Brookline Community Center,38
48847696,2016-01-12,Ormsby Community Center,58
48847697,2016-01-12,Phillips Community Center,48
48847698,2016-01-12,Warrington Community Center,47
48847699,2016-01-12,West Penn Community Center,20
48847700,2016-01-12,Jefferson Community Center,9
48847701,2016-01-12,Magee Community Center,34
48847702,2016-01-11,Ammon Community Center,123
48847703,2016-01-11,Arlington Community Center,27
48847704,2016-01-11,Brookline Community Center,116
48847705,2016-01-11,Ormsby Community Center,51
48847706,2016-01-11,Phillips Community Center,106
48847707,2016-01-11,West Penn Community Center,110
48847708,2016-01-11,Warrington Community Center,66
48847709,2016-01-11,Magee Community Center,72
48847710,2016-01-11,Jefferson Community Center,42
48847711,2016-01-09,Brookline Community Center,65
48847712,2016-01-09,Ormsby Community Center,18
48847713,2016-01-09,Phillips Community Center,30
48847714,2016-01-09,West Penn Community Center,102
48847715,2016-01-09,Magee Community Center,22
48847716,2016-01-08,Arlington Community Center,7
48847717,2016-01-08,Ammon Community Center,103
48847718,2016-01-08,Brookline Community Center,162
48847719,2016-01-08,Ormsby Community Center,21
48847720,2016-01-08,Phillips Community Center,93
48847721,2016-01-08,West Penn Community Center,64
48847722,2016-01-08,Warrington Community Center,76
48847723,2016-01-08,Magee Community Center,53
48847724,2016-01-08,Jefferson Community Center,41
48847725,2016-01-07,Ammon Community Center,121
48847726,2016-01-07,Arlington Community Center,27
48847727,2016-01-07,Brookline Community Center,135
48847728,2016-01-07,Ormsby Community Center,56
48847729,2016-01-07,Phillips Community Center,97
48847730,2016-01-07,Warrington Community Center,72
48847731,2016-01-07,West Penn Community Center,86
48847732,2016-01-07,Jefferson Community Center,33
48847733,2016-01-07,Magee Community Center,49
48847734,2016-01-06,Arlington Community Center,23
48847735,2016-01-06,Ammon Community Center,54
48847736,2016-01-06,Brookline Community Center,177
48847737,2016-01-06,Ormsby Community Center,77
48847738,2016-01-06,Phillips Community Center,89
48847739,2016-01-06,West Penn Community Center,86
48847740,2016-01-06,Warrington Community Center,76
48847741,2016-01-06,Magee Community Center,48
48847742,2016-01-06,Jefferson Community Center,28
48847743,2016-01-05,Ammon Community Center,29
48847744,2016-01-05,Arlington Community Center,20
48847745,2016-01-05,Brookline Community Center,188
48847746,2016-01-05,Ormsby Community Center,50
48847747,2016-01-05,Paulson Community Center,11
48847748,2016-01-05,Phillips Community Center,65
48847749,2016-01-05,Warrington Community Center,52
48847750,2016-01-05,West Penn Community Center,41
48847751,2016-01-05,Jefferson Community Center,22
48847752,2016-01-05,Magee Community Center,58
48847753,2016-01-04,Arlington Community Center,28
48847754,2016-01-04,Ammon Community Center,136
48847755,2016-01-04,Brookline Community Center,149
48847756,2016-01-04,Ormsby Community Center,51
48847757,2016-01-04,Phillips Community Center,110
48847758,2016-01-04,West Penn Community Center,84
48847759,2016-01-04,Warrington Community Center,64
48847760,2016-01-04,Magee Community Center,63
48847761,2016-01-04,Jefferson Community Center,32
48847762,2016-01-02,Brookline Community Center,62
48847763,2016-01-02,Ormsby Community Center,8
48847764,2016-01-02,Phillips Community Center,24
48847765,2016-01-02,West Penn Community Center,75
48847766,2016-01-02,Magee Community Center,7
48847767,2015-12-31,Ammon Community Center,34
48847768,2015-12-31,Arlington Community Center,7
48847769,2015-12-31,Brookline Community Center,23
48847770,2015-12-31,Ormsby Community Center,25
48847771,2015-12-31,Phillips Community Center,40
48847772,2015-12-31,West Penn Community Center,19
48847773,2015-12-31,Warrington Community Center,14
48847774,2015-12-31,Magee Community Center,12
48847775,2015-12-31,Jefferson Community Center,31
48847776,2015-12-30,Arlington Community Center,26
48847777,2015-12-30,Ammon Community Center,46
48847778,2015-12-30,Brookline Community Center,132
48847779,2015-12-30,Ormsby Community Center,31
48847780,2015-12-30,Phillips Community Center,129
48847781,2015-12-30,Warrington Community Center,36
48847782,2015-12-30,West Penn Community Center,65
48847783,2015-12-30,Jefferson Community Center,19
48847784,2015-12-30,Magee Community Center,29
48847785,2015-12-29,Ammon Community Center,34
48847786,2015-12-29,Arlington Community Center,18
48847787,2015-12-29,Brookline Community Center,122
48847788,2015-12-29,Ormsby Community Center,40
48847789,2015-12-29,Phillips Community Center,96
48847790,2015-12-29,West Penn Community Center,64
48847791,2015-12-29,Warrington Community Center,24
48847792,2015-12-29,Magee Community Center,63
48847793,2015-12-29,Jefferson Community Center,11
48847794,2015-12-28,Arlington Community Center,49
48847795,2015-12-28,Ammon Community Center,40
48847796,2015-12-28,Brookline Community Center,152
48847797,2015-12-28,Ormsby Community Center,30
48847798,2015-12-28,Phillips Community Center,112
48847799,2015-12-28,Warrington Community Center,59
48847800,2015-12-28,West Penn Community Center,78
48847801,2015-12-28,Jefferson Community Center,14
48847802,2015-12-28,Magee Community Center,75
48847803,2015-12-24,Ammon Community Center,17
48847804,2015-12-24,Arlington Community Center,6
48847805,2015-12-24,Brookline Community Center,38
48847806,2015-12-24,Ormsby Community Center,16
48847807,2015-12-24,Phillips Community Center,44
48847808,2015-12-24,West Penn Community Center,14
48847809,2015-12-24,Warrington Community Center,21
48847810,2015-12-24,Magee Community Center,11
48847811,2015-12-24,Jefferson Community Center,27
48847812,2015-12-23,Arlington Community Center,29
48847813,2015-12-23,Ammon Community Center,118
48847814,2015-12-23,Brookline Community Center,107
48847815,2015-12-23,Ormsby Community Center,51
48847816,2015-12-23,Paulson Community Center,10
48847817,2015-12-23,Phillips Community Center,53
48847818,2015-12-23,Warrington Community Center,34
48847819,2015-12-23,West Penn Community Center,56
48847820,2015-12-23,Jefferson Community Center,22
48847821,2015-12-23,Magee Community Center,62
48847822,2015-12-22,Ammon Community Center,42
48847823,2015-12-22,Arlington Community Center,21
48847824,2015-12-22,Brookline Community Center,150
48847825,2015-12-22,Jefferson Community Center,26
48847826,2015-12-22,Paulson Community Center,17
48847827,2015-12-22,Ormsby Community Center,43
48847828,2015-12-22,West Penn Community Center,49
48847829,2015-12-22,Warrington Community Center,60
48847830,2015-12-22,Magee Community Center,73
48847831,2015-12-21,Arlington Community Center,35
48847832,2015-12-21,Ammon Community Center,143
48847833,2015-12-21,Jefferson Community Center,43
48847834,2015-12-21,Brookline Community Center,128
48847835,2015-12-21,Ormsby Community Center,50
48847836,2015-12-21,Paulson Community Center,15
48847837,2015-12-21,Phillips Community Center,137
48847838,2015-12-21,Warrington Community Center,55
48847839,2015-12-21,West Penn Community Center,77
48847840,2015-12-21,Magee Community Center,83
48847841,2015-12-19,Ammon Community Center,34
48847842,2015-12-19,Brookline Community Center,66
48847843,2015-12-19,Ormsby Community Center,14
48847844,2015-12-19,Phillips Community Center,26
48847845,2015-12-19,West Penn Community Center,35
48847846,2015-12-19,Magee Community Center,18
48847847,2015-12-18,Ammon Community Center,86
48847848,2015-12-18,Arlington Community Center,24
48847849,2015-12-18,Brookline Community Center,186
48847850,2015-12-18,Jefferson Community Center,28
48847851,2015-12-18,Ormsby Community Center,29
48847852,2015-12-18,Phillips Community Center,45
48847853,2015-12-18,West Penn Community Center,43
48847854,2015-12-18,Warrington Community Center,49
48847855,2015-12-18,Magee Community Center,79
48847856,2015-12-17,Arlington Community Center,28
48847857,2015-12-17,Ammon Community Center,189
48847858,2015-12-17,Jefferson Community Center,26
48847859,2015-12-17,Brookline Community Center,115
48847860,2015-12-17,Ormsby Community Center,44
48847861,2015-12-17,Phillips Community Center,79
48847862,2015-12-17,Warrington Community Center,55
48847863,2015-12-17,West Penn Community Center,58
48847864,2015-12-17,Magee Community Center,78
48847865,2015-12-16,Ammon Community Center,245
48847866,2015-12-16,Arlington Community Center,19
48847867,2015-12-16,Brookline Community Center,135
48847868,2015-12-16,Jefferson Community Center,28
48847869,2015-12-16,Ormsby Community Center,55
48847870,2015-12-16,Phillips Community Center,113
48847871,2015-12-16,West Penn Community Center,53
48847872,2015-12-16,Warrington Community Center,61
48847873,2015-12-16,Magee Community Center,77
48847874,2015-12-15,Arlington Community Center,20
48847875,2015-12-15,Ammon Community Center,60
48847876,2015-12-15,Jefferson Community Center,51
48847877,2015-12-15,Brookline Community Center,159
48847878,2015-12-15,Ormsby Community Center,35
48847879,2015-12-15,Paulson Community Center,9
48847880,2015-12-15,Phillips Community Center,89
48847881,2015-12-15,Warrington Community Center,70
48847882,2015-12-15,West Penn Community Center,66
48847883,2015-12-15,Magee Community Center,40
48847884,2015-12-14,Ammon Community Center,66
48847885,2015-12-14,Arlington Community Center,36
48847886,2015-12-14,Brookline Community Center,121
48847887,2015-12-14,Jefferson Community Center,28
48847888,2015-12-14,Ormsby Community Center,29
48847889,2015-12-14,Phillips Community Center,108
48847890,2015-12-14,West Penn Community Center,82
48847891,2015-12-14,Warrington Community Center,46
48847892,2015-12-14,Magee Community Center,78
48847893,2015-12-13,Ammon Community Center,24
48847894,2015-12-12,Brookline Community Center,103
48847895,2015-12-12,Ormsby Community Center,27
48847896,2015-12-12,Phillips Community Center,20
48847897,2015-12-12,Warrington Community Center,106
48847898,2015-12-12,West Penn Community Center,59
48847899,2015-12-12,Magee Community Center,17
48847900,2015-12-11,Ammon Community Center,30
48847901,2015-12-11,Arlington Community Center,28
48847902,2015-12-11,Brookline Community Center,198
48847903,2015-12-11,Jefferson Community Center,36
48847904,2015-12-11,Ormsby Community Center,26
48847905,2015-12-11,Phillips Community Center,74
48847906,2015-12-11,West Penn Community Center,45
48847907,2015-12-11,Warrington Community Center,44
48847908,2015-12-11,Magee Community Center,38
48847909,2015-12-10,Arlington Community Center,32
48847910,2015-12-10,Ammon Community Center,94
48847911,2015-12-10,Jefferson Community Center,51
48847912,2015-12-10,Brookline Community Center,92
48847913,2015-12-10,Ormsby Community Center,66
48847914,2015-12-10,Phillips Community Center,92
48847915,2015-12-10,Warrington Community Center,37
48847916,2015-12-10,West Penn Community Center,48
48847917,2015-12-10,Magee Community Center,127
48847918,2015-12-09,Ammon Community Center,140
48847919,2015-12-09,Arlington Community Center,30
48847920,2015-12-09,Brookline Community Center,165
48847921,2015-12-09,Jefferson Community Center,45
48847922,2015-12-09,Ormsby Community Center,78
48847923,2015-12-09,Paulson Community Center,31
48847924,2015-12-09,Phillips Community Center,108
48847925,2015-12-09,West Penn Community Center,68
48847926,2015-12-09,Warrington Community Center,27
48847927,2015-12-09,Magee Community Center,31
48847928,2015-12-08,Arlington Community Center,19
48847929,2015-12-08,Ammon Community Center,129
48847930,2015-12-08,Brookline Community Center,246
48847931,2015-12-08,Paulson Community Center,25
