_id,date,center_name,attendance_count
48828015,2025-10-08,Brookline Community Center,38
48828016,2025-10-08,Ormsby Community Center,7
48828017,2025-10-08,Phillips Community Center,76
48828018,2025-10-08,Paulson Community Center,13
48828019,2025-10-08,Warrington Community Center,42
48828020,2025-10-08,Magee Community Center,10
48828021,2025-10-08,Jefferson Community Center,40
48828022,2025-10-08,West Penn Community Center,95
48828023,2025-10-07,Ammon Community Center,20
48828024,2025-10-07,Brookline Community Center,52
48828025,2025-10-07,Arlington Community Center,33
48828026,2025-10-07,Ormsby Community Center,14
48828027,2025-10-07,Paulson Community Center,9
48828028,2025-10-07,Phillips Community Center,39
48828029,2025-10-07,Warrington Community Center,30
48828030,2025-10-07,Jefferson Community Center,50
48828031,2025-10-07,Magee Community Center,16
48828032,2025-10-07,West Penn Community Center,71
48828033,2025-10-06,Arlington Community Center,23
48828034,2025-10-06,Brookline Community Center,22
48828035,2025-10-06,Ormsby Community Center,14
48828036,2025-10-06,Phillips Community Center,77
48828037,2025-10-06,Paulson Community Center,11
48828038,2025-10-06,Warrington Community Center,44
48828039,2025-10-06,Magee Community Center,14
48828040,2025-10-06,Jefferson Community Center,27
48828041,2025-10-06,West Penn Community Center,63
48828042,2025-10-04,Paulson Community Center,1
48828043,2025-10-04,Phillips Community Center,1
48828044,2025-10-04,Warrington Community Center,14
48828045,2025-10-04,Magee Community Center,5
48828046,2025-10-04,West Penn Community Center,6
48828047,2025-10-03,Brookline Community Center,24
48828048,2025-10-03,Arlington Community Center,12
48828049,2025-10-03,Ormsby Community Center,9
48828050,2025-10-03,Phillips Community Center,31
48828051,2025-10-03,Warrington Community Center,28
48828052,2025-10-03,Magee Community Center,9
48828053,2025-10-03,Jefferson Community Center,37
48828054,2025-10-03,West Penn Community Center,38
48828055,2025-10-02,Ammon Community Center,15
48828056,2025-10-02,Arlington Community Center,5
48828057,2025-10-02,Brookline Community Center,52
48828058,2025-10-02,Ormsby Community Center,8
48828059,2025-10-02,Phillips Community Center,3
48828060,2025-10-02,Paulson Community Center,26
48828061,2025-10-02,Warrington Community Center,38
48828062,2025-10-02,Magee Community Center,10
48828063,2025-10-02,West Penn Community Center,124
48828064,2025-10-01,Ammon Community Center,27
48828065,2025-10-01,Brookline Community Center,34
48828066,2025-10-01,Arlington Community Center,55
48828067,2025-10-01,Ormsby Community Center,5
48828068,2025-10-01,Paulson Community Center,17
48828069,2025-10-01,Phillips Community Center,38
